"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy","ClaimSize"
"Dec","5","Wednesday","Honda","Urban","Tuesday","Jan","1","Female","Single","21","Policy Holder","Sport - Liability","Sport","more than 69000","0","1","12","300","1","more than 30","more than 30","none","3 years","26 to 30","No","No","External","none","1 year","3 to 4","1994","Liability","55526.069421282"
"Jan","3","Wednesday","Honda","Urban","Monday","Jan","4","Male","Single","34","Policy Holder","Sport - Collision","Sport","more than 69000","0","2","15","400","4","more than 30","more than 30","none","6 years","31 to 35","Yes","No","External","none","no change","1 vehicle","1994","Collision","59294.455570939"
"Oct","5","Friday","Honda","Urban","Thursday","Nov","2","Male","Married","47","Policy Holder","Sport - Collision","Sport","more than 69000","0","3","7","400","3","more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1994","Collision","71756.941319715"
"Jun","2","Saturday","Toyota","Rural","Friday","Jul","1","Male","Married","65","Third Party","Sedan - Liability","Sport","20000 to 29000","0","4","4","400","2","more than 30","more than 30","1","more than 7","51 to 65","Yes","No","External","more than 5","no change","1 vehicle","1994","Liability","7584.153493424"
"Feb","1","Saturday","Honda","Urban","Monday","Feb","3","Male","Married","36","Third Party","Sport - Collision","Sport","more than 69000","0","7","14","400","1","more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","98545.374338552"
"Dec","4","Saturday","Honda","Urban","Wednesday","Dec","5","Male","Single","30","Policy Holder","Sport - Collision","Sport","more than 69000","0","9","7","400","4","more than 30","more than 30","none","6 years","31 to 35","No","Yes","External","3 to 5","no change","1 vehicle","1994","Collision","57166.760953688"
"Mar","2","Sunday","Mazda","Urban","Wednesday","Mar","3","Male","Single","71","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","11","7","400","3","more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle","1994","All Perils","62624.228715239"
"Mar","5","Monday","Honda","Urban","Monday","Mar","5","Male","Married","52","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","12","13","400","1","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1994","Liability","103420.78527458"
"Jan","3","Friday","Ford","Urban","Friday","Jan","3","Male","Married","28","Policy Holder","Sedan - Liability","Sport","more than 69000","0","13","11","400","1","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Liability","59747.549439156"
"Jan","5","Friday","Honda","Rural","Wednesday","Feb","1","Male","Single","0","Third Party","Sedan - Collision","Sedan","more than 69000","0","14","12","400","3","more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle","1994","Collision","82211.859262064"
"Jan","5","Monday","Ford","Urban","Thursday","Feb","1","Male","Married","61","Policy Holder","Sedan - Liability","Sport","more than 69000","0","15","3","400","1","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1994","Liability","59551.892047847"
"Aug","4","Tuesday","Ford","Urban","Monday","Aug","5","Male","Single","38","Policy Holder","Sedan - Liability","Sport","more than 69000","0","16","16","400","1","more than 30","more than 30","none","6 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Liability","54340.812032397"
"Apr","4","Thursday","Ford","Urban","Wednesday","May","1","Male","Married","41","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","17","15","400","4","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","All Perils","52273.791947385"
"Jul","5","Sunday","Chevrolet","Urban","Wednesday","Aug","1","Female","Married","28","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","18","6","400","1","more than 30","more than 30","none","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","6659.0066668198"
"May","4","Thursday","Pontiac","Urban","Monday","May","5","Male","Single","32","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","19","6","400","","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Liability","5906.5973127683"
"Apr","2","Friday","Mazda","Urban","Tuesday","May","1","Male","Married","40","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","21","3","400","1","more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Liability","8219.9693196859"
"Jan","2","Saturday","Chevrolet","Urban","Monday","Jan","2","Male","Married","47","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","22","13","400","2","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","4 to 8 years","2 vehicles","1994","Collision","1298.6439119278"
"Mar","3","Monday","Pontiac","Urban","Tuesday","Apr","1","Male","Married","60","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","26","16","400","4","more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1994","Liability","22262.93367319"
